Day of last_activity_date	Count
23-Oct-15	30801
24-Oct-15	15176
25-Oct-15	5564
26-Oct-15	23716
27-Oct-15	37988
28-Oct-15	35185
29-Oct-15	28970
30-Oct-15	26370
31-Oct-15	13101
1-Nov-15	11040
2-Nov-15	34311
3-Nov-15	54816
4-Nov-15	48464
5-Nov-15	30806
6-Nov-15	72733
7-Nov-15	59390
8-Nov-15	14254
9-Nov-15	35683
10-Nov-15	38786
11-Nov-15	33670
12-Nov-15	30739
13-Nov-15	30816
14-Nov-15	15217
15-Nov-15	15717
16-Nov-15	33783
17-Nov-15	36270
18-Nov-15	34608
19-Nov-15	28728
20-Nov-15	29038
21-Nov-15	15929
22-Nov-15	16956
23-Nov-15	37740
24-Nov-15	39997
25-Nov-15	34820
26-Nov-15	12679
27-Nov-15	12820
28-Nov-15	9312
29-Nov-15	17381
30-Nov-15	35637
1-Dec-15	37448
2-Dec-15	34684
3-Dec-15	47041
4-Dec-15	47620
5-Dec-15	15340
6-Dec-15	16180
7-Dec-15	59594
8-Dec-15	63769
9-Dec-15	38779
10-Dec-15	32459
11-Dec-15	30230
12-Dec-15	12985
13-Dec-15	17256
14-Dec-15	37203
15-Dec-15	42174
16-Dec-15	39110
17-Dec-15	32501
18-Dec-15	29982
19-Dec-15	14446
20-Dec-15	14259
21-Dec-15	34630
22-Dec-15	40254
23-Dec-15	36338
24-Dec-15	27252
25-Dec-15	9249
26-Dec-15	2411
27-Dec-15	18761
28-Dec-15	40840
29-Dec-15	52364
30-Dec-15	49262
31-Dec-15	31273
1-Jan-16	41138
2-Jan-16	4845
3-Jan-16	12157
4-Jan-16	38543
5-Jan-16	40783
6-Jan-16	45640
7-Jan-16	39202
8-Jan-16	76843
9-Jan-16	81733
10-Jan-16	94768
11-Jan-16	191000
12-Jan-16	218277
13-Jan-16	168989
14-Jan-16	117866
15-Jan-16	122052
16-Jan-16	83025
17-Jan-16	31789
18-Jan-16	11563
19-Jan-16	33136
20-Jan-16	45280
21-Jan-16	39795
22-Jan-16	36563
23-Jan-16	16153
24-Jan-16	14053
25-Jan-16	37857
26-Jan-16	43602
27-Jan-16	39294
28-Jan-16	38415
29-Jan-16	35012
30-Jan-16	15367
31-Jan-16	21018
1-Feb-16	43338
2-Feb-16	44446
3-Feb-16	55556
4-Feb-16	75962
5-Feb-16	62021
6-Feb-16	17520
7-Feb-16	20995
8-Feb-16	43632
9-Feb-16	41095
10-Feb-16	36574
11-Feb-16	34205
12-Feb-16	34843
13-Feb-16	16854
14-Feb-16	17549
15-Feb-16	20146
16-Feb-16	30507
17-Feb-16	43145
18-Feb-16	34616
19-Feb-16	35292
20-Feb-16	16395
21-Feb-16	19550
22-Feb-16	50175
23-Feb-16	46907
24-Feb-16	41530
25-Feb-16	33341
26-Feb-16	34451
27-Feb-16	15661
28-Feb-16	18854
29-Feb-16	40524
1-Mar-16	42792
2-Mar-16	37802
3-Mar-16	33254
4-Mar-16	34120
5-Mar-16	17957
6-Mar-16	19370
7-Mar-16	46986
8-Mar-16	50561
9-Mar-16	45058
10-Mar-16	41595
11-Mar-16	35183
12-Mar-16	17237
13-Mar-16	15065
14-Mar-16	38366
15-Mar-16	42423
16-Mar-16	36706
17-Mar-16	32765
18-Mar-16	32235
19-Mar-16	15661
20-Mar-16	19690
21-Mar-16	39149
22-Mar-16	40611
23-Mar-16	34114
24-Mar-16	31940
25-Mar-16	18304
26-Mar-16	7741
27-Mar-16	16118
28-Mar-16	43327
29-Mar-16	43259
30-Mar-16	43383
31-Mar-16	42159
1-Apr-16	35727
2-Apr-16	15802
3-Apr-16	17958
4-Apr-16	42777
5-Apr-16	41805
6-Apr-16	36051
7-Apr-16	64713
8-Apr-16	162732
9-Apr-16	197492
10-Apr-16	203572
11-Apr-16	221570
12-Apr-16	223500
13-Apr-16	196080
14-Apr-16	101011
15-Apr-16	44141
16-Apr-16	17258
17-Apr-16	14692
18-Apr-16	39681
19-Apr-16	43314
20-Apr-16	36882
21-Apr-16	38694
22-Apr-16	41323
23-Apr-16	16695
24-Apr-16	19384
25-Apr-16	42265
26-Apr-16	39574
27-Apr-16	33028
28-Apr-16	30809
29-Apr-16	30480
30-Apr-16	13622
1-May-16	18882
2-May-16	46197
3-May-16	41451
4-May-16	31989
5-May-16	31937
6-May-16	49342
7-May-16	30773
8-May-16	19884
9-May-16	65145
10-May-16	61839
11-May-16	31417
12-May-16	30934
13-May-16	29386
14-May-16	14143
15-May-16	17419
16-May-16	37406
17-May-16	36221
18-May-16	33281
